municipality,municipality_geojson
Amel,Amel#Amblève
Bever,Bever#Biévène
Brussel / Bruxelles,Brussel#Bruxelles
Büllingen,Büllingen#Bullange
Bütgenbach,Bütgenbach#Butgenbach
Comines-Warneton,Comines-Warneton#Komen-Waasten
Court-Saint-Etienne,Court-Saint-Étienne
Ecaussinnes,Écaussinnes
Eghezée,Éghezée
Elsene /Ixelles,Elsene#Ixelles
Enghien,Enghien#Edingen
Erezée,Érezée
Etalle,Étalle
Flobecq,Flobecq#Vloesberg
Fontaine-l'Evêque,Fontaine-l'Évêque
Kelmis,Kelmis#La Calamine
Léglise,L'Église
Meix-Devant-Virton,Meix-devant-Virton
Mesen,Mesen#Messines
Mouscron,Mouscron#Moeskroen
Oudergem / Auderghem,Oudergem#Auderghem
Ronse,Ronse#Renaix
Sankt Vith,Sankt Vith#Saint-Vith
Schaarbeek / Schaerbeek,Schaarbeek#Schaerbeek
Sint-Agatha-Berchem / Berchem-Sainte-Agathe,Sint-Agatha-Berchem#Berchem-Sainte-Agathe
Sint-Genesius-Rode,Sint-Genesius-Rode#Rhode-Saint-Genèse
Sint-Gillis / Saint-Gilles,Sint-Gillis#Saint-Gilles
Sint-Jans-Molenbeek / Molenbeek-Saint-Jean,Sint-Jan-Molenbeek#Molenbeek-Saint-Jean
Sint-Joost-ten-Node / Saint-Josse-Ten-Noode,Sint-Joost-ten-Node#Saint-Josse-ten-Noode
Sint-Lambrechts-Woluwe / Woluwé-Saint-Lambert,Sint-Lambrechts-Woluwe#Woluwe-Saint-Lambert
Sint-Pieters-Woluwe / Woluwé-Saint-Pierre,Sint-Pieters-Woluwe#Woluwe-Saint-Pierre
Spiere-Helkijn,Spiere-Helkijn#Espierres-Helchin
Ukkel / Uccle,Ukkel#Uccle
Voeren,Voeren#Fourons
Vorst / Forest,Vorst#Forest
Waimes,Waimes#Weismes
Watermaal-Bosvoorde / Watermael-Boitsfort,Watermaal-Bosvoorde#Watermael-Boitsfort
