municipality_geojson,section_1,section_2,section_3,section_4,section_5,section_6,excluded,total
Aalst,,66.0,3.0,,,,548.0,617
Aalter,,,11.0,1.0,,207.0,54.0,273
Aarschot,,,,,,303.0,3.0,306
Aartselaar,,,69.0,,,,60.0,129
Affligem,,66.0,,,,,7.0,73
Aiseau-Presles,,,,66.0,,,1.0,67
Alken,,,,,,,79.0,79
Alveringem,,,,,,,135.0,135
Amay,,,,100.0,1.0,,6.0,107
Amblève (Amel),,134.0,,,,,,134
Andenne,,,21.0,252.0,,,9.0,282
Anderlecht,,,,,,,609.0,609
Anderlues,,4.0,,,,79.0,,83
Anhée,,,45.0,,,,40.0,85
Ans,,,,,196.0,39.0,,235
Anthisnes,,,,3.0,,,38.0,41
Antoing,53.0,,,,,,,53
Antwerpen,,,,80.0,121.0,,2375.0,2576
Anzegem,,,,8.0,,,222.0,230
Ardooie,,,,,,,180.0,180
Arendonk,149.0,,,,,,5.0,154
Arlon,3.0,,,,,,253.0,256
As,,,,,,47.0,2.0,49
Asse,,72.0,12.0,,,,216.0,300
Assenede,,,79.0,,,,94.0,173
Assesse,,,59.0,65.0,,,6.0,130
Ath,150.0,,45.0,,36.0,,1.0,232
Attert,,,,,,,68.0,68
Aubange,100.0,,,,,,,100
Aubel,,97.0,,,,,,97
Auderghem,,,,,1.0,,199.0,200
Avelgem,,,,,,,122.0,122
Awans,,,,,76.0,,,76
Aywaille,,,,,,,131.0,131
Baarle-Hertog,2.0,,,,,,19.0,21
Baelen,,,,,,,62.0,62
Balen,,,,,,,182.0,182
Bassenge,,12.0,,,14.0,24.0,,50
Bastogne,,8.0,,,,,211.0,219
Beaumont,,1.0,128.0,,,,,129
Beauraing,,,172.0,,,,,172
Beauvechain,,69.0,,,,,1.0,70
Beernem,,,,,100.0,,80.0,180
Beerse,1.0,,,,1.0,,143.0,145
Beersel,,,,,41.0,,186.0,227
Begijnendijk,,,,,,68.0,,68
Bekkevoort,,,,,65.0,,10.0,75
Belœil,,,,,90.0,,,90
Berchem-Sainte-Agathe,,,,,,,120.0,120
Beringen,,143.0,,,,,69.0,212
Berlaar,,,,,,,94.0,94
Berlare,107.0,,,,,3.0,5.0,115
Berloz,,,,,27.0,,1.0,28
Bernissart,,,,,77.0,,,77
Bertem,56.0,,,6.0,,,,62
Bertogne,17.0,,,,,,66.0,83
Bertrix,142.0,,,,,,,142
Bever,,,,20.0,,,,20
Beveren,,33.0,,,,,441.0,474
Beyne-Heusay,,1.0,,,,38.0,9.0,48
Bierbeek,,,,,,,105.0,105
Bilzen,,,,,,147.0,20.0,167
Binche,,199.0,,,,,17.0,216
Bièvre,75.0,,,,,,,75
Blankenberge,,,,,,,192.0,192
Blégny,,108.0,,,,4.0,4.0,116
Bocholt,,,,102.0,,,,102
Boechout,,,,41.0,,,102.0,143
Bonheiden,,88.0,,,,,18.0,106
Boom,,,,,,,107.0,107
Boortmeerbeek,,106.0,,,,,,106
Borgloon,,,,,,,86.0,86
Bornem,,,28.0,,,160.0,,188
