municipality,municipality_geojson,district,section1,section2,section3,section4,section5,section6,excluded,total
Aartselaar,Aartselaar,Aartselaar,,,69,,,,60,129
Antwerpen,Antwerpen,Albertdok,,,,,6,,372,378
Antwerpen,Antwerpen,Antwerpen Kern-Oude Stad,,,,,,,238,238
Antwerpen,Antwerpen,Berchem,,,,,,,163,163
Antwerpen,Antwerpen,Borgerhout,,,,1,,,104,105
Antwerpen,Antwerpen,Charlottalei,,,,,,,79,79
Antwerpen,Antwerpen,Deurne,,,,79,,,161,240
Antwerpen,Antwerpen,Ekeren,,,,,62,,,62
Antwerpen,Antwerpen,Hoboken,,,,,,,133,133
Antwerpen,Antwerpen,Linkeroever,,,,,,,80,80
Antwerpen,Antwerpen,Merksem,,,,,5,,151,156
Antwerpen,Antwerpen,Oude Haven,,,,,17,,130,147
Antwerpen,Antwerpen,Schelde,,,,,,,2,2
Antwerpen,Antwerpen,Sint-Amandus,,,,,,,60,60
Antwerpen,Antwerpen,Sint-Catharina,,,,,,,93,93
Antwerpen,Antwerpen,Sint-Laurentius,,,,,,,142,142
Antwerpen,Antwerpen,Statiekwartier,,,,,,,161,161
Antwerpen,Antwerpen,Waalse Kaai,,,,,,,51,51
Antwerpen,Antwerpen,Wilrijk,,,,,,,232,232
Antwerpen,Antwerpen,Zandvliet-kern,,,,,31,,23,54
Arendonk,Arendonk,Arendonk,149,,,,,,5,154
Baarle-Hertog,Baarle-Hertog,Baarle-Hertog,2,,,,,,19,21
Balen,Balen,Balen,,,,,,,151,151
Balen,Balen,Olmen,,,,,,,31,31
Beerse,Beerse,Beerse,,,,,1,,127,128
Beerse,Beerse,Vlimmeren,1,,,,,,16,17
Berlaar,Berlaar,Berlaar,,,,,,,94,94
Boechout,Boechout,Boechout,,,,6,,,96,102
Boechout,Boechout,Vremde,,,,35,,,6,41
Bonheiden,Bonheiden,Bonheiden,,40,,,,,18,58
Bonheiden,Bonheiden,Rijmenam,,48,,,,,,48
Boom,Boom,Boom,,,,,,,107,107
Bornem,Bornem,Bornem,,,16,,,116,,132
Bornem,Bornem,Hingene,,,3,,,38,,41
Bornem,Bornem,Mariekerke,,,9,,,,,9
Bornem,Bornem,Weert,,,,,,6,,6
Borsbeek,Borsbeek,Borsbeek,,,,8,,,25,33
Brasschaat,Brasschaat,Brasschaat,83,,,,65,,32,180
Brecht,Brecht,Brecht,81,,,,,,13,94
Brecht,Brecht,Sint-Job-in-'t-Goor,48,,,,,,,48
Brecht,Brecht,Sint-Lenaarts,9,,,,,,66,75
Dessel,Dessel,Dessel,,,,,,,80,80
Duffel,Duffel,Duffel,,,92,,,,38,130
Edegem,Edegem,Edegem,,,25,,,,66,91
Essen,Essen,Essen,,,,,115,,,115
Geel,Geel,Geel,,,,,,,338,338
Geel,Geel,Ten Aard,,,,,,,28,28
Grobbendonk,Grobbendonk,Bouwel,,,15,,,,,15
Grobbendonk,Grobbendonk,Grobbendonk,,,103,,,,3,106
Heist-op-den-Berg,Heist-op-den-Berg,Booischot,,,,,,,52,52
Heist-op-den-Berg,Heist-op-den-Berg,Hallaar,,,,,,,26,26
